grid_id,prospectivity_score
H001,5.5
H002,4.8
H003,6.6
H004,8.1
H005,5.7
H006,5.9
H007,5.1
H008,5.4
H009,
H010,5.3
H011,4.1
H012,5.9
H013,5.3
H014,5.5
H015,
H016,
H017,4.8
H018,4.1
H019,4.5
H020,5.7
H021,5.6
H022,3.7
H023,5.3
H024,5.0
H025,4.5
H026,
H027,
H028,4.2
H029,3.2
H030,5.0
H031,5.0
H032,
H033,4.7
H034,4.7
H035,
H036,
H037,
H038,4.8
H039,6.2
H040,6.0
H041,6.0
H042,5.9
H043,5.7
H044,7.7
H045,5.6
H046,4.6
H047,3.9
H048,4.7
H049,5.4
H050,
H051,3.4
H052,4.0
H053,6.0
H054,5.7
H055,2.5
H056,3.5
H057,4.9
H058,
H059,6.8
H060,
H061,6.0
H062,
H063,6.0
H064,
H065,
H066,
H067,
H068,4.3
H069,5.1
H070,4.4
H071,6.1
H072,5.5
H073,4.1
H074,5.7
H075,4.0
H076,
H077,4.0
H078,
H079,
H080,6.3
H081,
H082,6.5
H083,6.6
H084,
H085,3.7
H086,
H087,5.0
H088,7.1
H089,4.2
H090,6.2
H091,5.8
H092,3.9
H093,
H094,4.2
H095,6.3
H096,
H097,4.8
H098,
H099,4.7
H100,4.6
H101,6.2
H102,
H103,5.3
H104,4.8
H105,3.2
H106,7.1
H107,
H108,4.4
H109,4.8
H110,3.8
H111,5.6
H112,
H113,
H114,3.8
H115,7.3
H116,6.2
H117,5.3
H118,
H119,
H120,6.7
H121,5.3
H122,4.1
H123,5.8
H124,6.2
H125,4.8
H126,6.5
H127,5.5
H128,4.2
H129,
H130,
H131,5.4
H132,3.7
H133,5.7
H134,5.0
H135,4.4
H136,5.2
H137,6.2
H138,3.6
H139,6.6
H140,
H141,4.8
H142,4.4
H143,7.3
H144,7.0
H145,4.9
H146,4.0
H147,6.0
H148,3.5
H149,3.9
H150,4.4
H151,5.3
H152,
H153,5.8
H154,5.6
H155,5.8
H156,4.9
H157,4.5
H158,3.8
H159,7.4
H160,4.8
H161,5.0
H162,8.2
H163,4.7
H164,4.6
H165,
H166,4.2
H167,
H168,6.1
H169,6.4
H170,
H171,5.1
H172,3.8
H173,
H174,4.8
H175,3.9
H176,6.3
H177,3.7
H178,6.5
H179,
H180,4.9
H181,3.6
H182,3.9
H183,4.3
H184,5.7
H185,
H186,4.2
H187,4.7
H188,4.6
H189,4.7
H190,
H191,4.7
H192,
H193,4.6
H194,5.8
H195,5.2
H196,5.2
H197,
H198,
H199,5.4
H200,5.8
H201,4.2
H202,
H203,6.7
H204,4.8
H205,4.5
H206,4.3
H207,6.4
H208,5.0
H209,7.2
H210,
H211,4.7
H212,3.6
H213,
H214,6.2
H215,4.4
H216,
H217,5.7
H218,5.0
