grid_id,region_id,true_ni_pct,lithology
GAG001,SW,1.4566,peridotite_simulated
GAG002,SW,0.2868,mafic_volcanic_simulated
GAG003,SW,1.2411,peridotite_simulated
GAG004,SW,1.1467,serpentinite_simulated
GAG005,SW,1.2,ultramafic_simulated
GAG006,SW,0.9889,serpentinite_simulated
GAG007,SW,2.2968,peridotite_simulated
GAG008,SW,1.285,peridotite_simulated
GAG009,SW,1.1261,serpentinite_simulated
GAG010,SW,1.0586,serpentinite_simulated
GAG011,SE,1.5936,serpentinite_simulated
GAG012,SE,1.2676,serpentinite_simulated
GAG013,SE,1.4829,peridotite_simulated
GAG014,SE,0.2766,mafic_volcanic_simulated
GAG015,SE,1.1154,peridotite_simulated
GAG016,SE,0.7089,ultramafic_simulated
GAG017,SE,0.8648,serpentinite_simulated
GAG018,SE,1.0343,peridotite_simulated
GAG019,SE,1.892,serpentinite_simulated
GAG020,SE,0.7682,peridotite_simulated
GAG021,SW,1.2573,serpentinite_simulated
GAG022,SW,1.2688,ultramafic_simulated
GAG023,SW,1.0524,serpentinite_simulated
GAG024,SW,0.3015,mafic_volcanic_simulated
GAG025,SW,0.6371,serpentinite_simulated
GAG026,SW,1.0944,ultramafic_simulated
GAG027,SW,1.3894,serpentinite_simulated
GAG028,SW,1.3838,ultramafic_simulated
GAG029,SW,0.1514,alluvium
GAG030,SW,0.9722,peridotite_simulated
GAG031,SE,0.1253,alluvium
GAG032,SE,1.2154,peridotite_simulated
GAG033,SE,0.9948,peridotite_simulated
GAG034,SE,1.3746,ultramafic_simulated
GAG035,SE,0.3244,mafic_volcanic_simulated
GAG036,SE,0.1434,alluvium
GAG037,SE,1.3177,peridotite_simulated
GAG038,SE,1.0552,serpentinite_simulated
GAG039,SE,0.7316,serpentinite_simulated
GAG040,SE,0.3817,mafic_volcanic_simulated
GAG041,SW,0.7894,ultramafic_simulated
GAG042,SW,1.2917,ultramafic_simulated
GAG043,SW,0.8064,serpentinite_simulated
GAG044,SW,0.598,serpentinite_simulated
GAG045,SW,1.0411,serpentinite_simulated
GAG046,SW,0.3666,mafic_volcanic_simulated
GAG047,SW,1.307,serpentinite_simulated
GAG048,SW,1.2341,peridotite_simulated
GAG049,SW,2.2715,serpentinite_simulated
GAG050,SW,1.5278,peridotite_simulated
GAG051,SE,0.874,serpentinite_simulated
GAG052,SE,2.2849,ultramafic_simulated
GAG053,SE,0.6956,peridotite_simulated
GAG054,SE,0.4323,mafic_volcanic_simulated
GAG055,SE,1.1262,ultramafic_simulated
GAG056,SE,1.5965,serpentinite_simulated
GAG057,SE,0.1479,alluvium
GAG058,SE,0.3588,mafic_volcanic_simulated
GAG059,SE,0.6311,serpentinite_simulated
GAG060,SE,0.7652,ultramafic_simulated
GAG061,SW,1.3475,serpentinite_simulated
GAG062,SW,1.1442,serpentinite_simulated
GAG063,SW,1.4148,serpentinite_simulated
GAG064,SW,1.379,peridotite_simulated
GAG065,SW,0.8066,peridotite_simulated
GAG066,SW,1.2588,peridotite_simulated
GAG067,SW,0.7749,peridotite_simulated
GAG068,SW,1.2727,serpentinite_simulated
GAG069,SW,1.1158,ultramafic_simulated
GAG070,SW,1.5292,peridotite_simulated
GAG071,SE,0.562,peridotite_simulated
GAG072,SE,1.3654,ultramafic_simulated
GAG073,SE,0.8272,serpentinite_simulated
GAG074,SE,0.6198,serpentinite_simulated
GAG075,SE,2.2814,serpentinite_simulated
GAG076,SE,2.1131,serpentinite_simulated
GAG077,SE,1.039,serpentinite_simulated
GAG078,SE,1.5485,serpentinite_simulated
GAG079,SE,0.4357,ultramafic_simulated
GAG080,SE,0.6533,ultramafic_simulated
GAG081,SW,1.7719,ultramafic_simulated
GAG082,SW,1.4074,serpentinite_simulated
GAG083,SW,1.4503,serpentinite_simulated
GAG084,SW,0.7554,serpentinite_simulated
GAG085,SW,0.8318,serpentinite_simulated
GAG086,SW,1.6913,peridotite_simulated
GAG087,SW,0.1919,mafic_volcanic_simulated
GAG088,SW,1.614,serpentinite_simulated
GAG089,SW,1.4686,ultramafic_simulated
GAG090,SW,1.5037,serpentinite_simulated
GAG091,SE,1.2628,peridotite_simulated
GAG092,SE,1.1425,peridotite_simulated
GAG093,SE,0.3146,mafic_volcanic_simulated
GAG094,SE,2.2515,serpentinite_simulated
GAG095,SE,1.5362,serpentinite_simulated
GAG096,SE,0.4781,peridotite_simulated
GAG097,SE,0.6325,ultramafic_simulated
GAG098,SE,0.1076,alluvium
GAG099,SE,1.5672,serpentinite_simulated
GAG100,SE,1.2981,ultramafic_simulated
GAG101,SW,0.8503,ultramafic_simulated
GAG102,SW,0.1475,alluvium
GAG103,SW,1.3619,serpentinite_simulated
GAG104,SW,0.1589,alluvium
GAG105,SW,1.647,peridotite_simulated
GAG106,SW,0.9622,serpentinite_simulated
GAG107,SW,2.5457,serpentinite_simulated
GAG108,SW,1.0047,ultramafic_simulated
GAG109,SW,0.4894,mafic_volcanic_simulated
GAG110,SW,0.5106,mafic_volcanic_simulated
GAG111,SE,1.4702,peridotite_simulated
GAG112,SE,0.773,peridotite_simulated
GAG113,SE,1.6805,peridotite_simulated
GAG114,SE,1.1346,serpentinite_simulated
GAG115,SE,0.402,mafic_volcanic_simulated
GAG116,SE,1.4806,peridotite_simulated
GAG117,SE,0.8432,ultramafic_simulated
GAG118,SE,0.8094,ultramafic_simulated
GAG119,SE,0.4525,mafic_volcanic_simulated
GAG120,SE,1.4018,serpentinite_simulated
GAG121,SW,0.9532,peridotite_simulated
GAG122,SW,1.4745,peridotite_simulated
GAG123,SW,1.423,peridotite_simulated
GAG124,SW,0.5534,serpentinite_simulated
GAG125,SW,1.7538,peridotite_simulated
GAG126,SW,2.1833,ultramafic_simulated
GAG127,SW,1.763,peridotite_simulated
GAG128,SW,1.9399,ultramafic_simulated
