sample_id,grid_id,latitude,longitude,Ni_pct,Fe_pct,Co_pct,MgO_pct,SiO2_pct,zone,qc_flag
SH0011,H001,0.608114,128.012076,0.674,22.85,0.041,29.95,33.39,saprolite,valid
SH0012,H001,0.61128,128.009087,0.826,44.13,0.022,1.55,33.37,limonite,valid
SH0021,H002,0.60988,128.028259,0.701,27.21,0.03,27.16,28.5,saprolite,valid
SH0022,H002,0.611561,128.027092,0.522,16.4,0.018,21.99,30.43,saprolite,valid
SH0031,H003,0.611282,128.044396,1.184,15.64,0.022,24.38,34.2,saprolite,valid
SH0032,H003,0.6041,128.040984,0.825,38.94,0.085,5.26,42.04,limonite,valid
SH0041,H004,0.610167,128.052562,2.608,22.99,0.011,15.3,35.59,saprolite,valid
SH0042,H004,0.608345,128.054484,2.105,22.3,0.014,5.33,57.75,soil,valid
SH0051,H005,0.612105,128.069827,0.817,22.09,0.012,16.23,36.03,saprolite,valid
SH0052,H005,0.604669,128.071716,0.723,45.33,0.069,1.84,36.55,limonite,valid
SH0061,H006,0.604292,128.088076,1.081,27.9,0.031,16.01,32.66,saprolite,valid
SH0062,H006,0.611235,128.092085,1.411,20.27,0.05,10.45,38.65,transition,valid
SH0071,H007,0.611154,128.103026,0.578,37.81,0.094,1.65,30.59,limonite,valid
SH0072,H007,0.605641,128.101559,0.01,23.48,0.009,7.62,45.61,soil,valid
SH0081,H008,0.611076,128.12024,0.99,17.19,0.005,8.61,54.21,soil,valid
SH0082,H008,0.609523,128.115487,0.966,36.99,0.075,7.17,33.22,limonite,valid
SH0091,H009,0.608682,128.13963,1.805,16.41,0.016,2.87,53.6,soil,valid
SH0092,H009,0.603101,128.132185,1.483,26.29,0.032,8.97,47.56,transition,valid
SH0101,H010,0.612473,128.154921,0.917,13.72,0.019,2.47,46.75,soil,valid
SH0102,H010,0.608484,128.147255,0.841,46.25,0.093,6.52,37.47,limonite,valid
SH0111,H011,0.612558,128.169392,0.267,41.67,0.026,1.21,41.56,limonite,valid
SH0112,H011,0.605578,128.169824,0.01,24.2,0.011,3.25,53.76,soil,valid
SH0121,H012,0.606834,128.180609,1.478,37.86,0.077,5.02,41.77,limonite,valid
SH0122,H012,0.603777,128.18885,1.399,42.89,0.1,2.69,32.37,limonite,valid
SH0131,H013,0.610488,128.196877,0.908,23.64,0.016,9.92,53.28,soil,valid
SH0132,H013,0.610388,128.199062,1.392,14.76,0.029,17.74,29.29,saprolite,valid
SH0141,H014,0.609048,128.217887,0.909,37.36,0.034,2.05,39.5,limonite,valid
SH0142,H014,0.607345,128.213928,0.881,18.96,0.045,29.63,29.2,saprolite,valid
