sample_id,point_id,grid_id,latitude,longitude,Ni_pct,Fe_pct,Co_pct,MgO_pct,SiO2_pct,zone
RS001,RM001,R01,-3.474889,122.050626,0.62,38.5,0.062,5.2,40.3,limonite
RS002,RM002,R01,-3.474445,122.050351,1.01,42.5,0.075,3.5,43.7,limonite
RS003,RM003,R02,-3.477043,122.063148,0.61,39.3,0.040,7.3,49.2,limonite
RS004,RM004,R02,-3.473840,122.059798,0.60,39.6,0.061,7.7,35.8,limonite
RS005,RM005,R03,-3.471968,122.070241,0.98,46.7,0.057,8.3,37.0,limonite
RS006,RM006,R03,-3.477454,122.074013,0.74,44.8,0.066,5.0,44.7,limonite
RS007,RM007,R04,-3.476413,122.079241,1.05,45.8,0.086,5.4,41.3,limonite
RS008,RM008,R04,-3.474949,122.078680,0.85,46.5,0.050,7.1,35.4,limonite
RS009,RM009,R05,-3.473901,122.096111,1.36,36.9,0.091,8.0,45.7,transition
RS010,RM010,R05,-3.473604,122.095326,1.05,26.9,0.070,9.3,43.5,transition
RS011,RM011,R06,-3.483190,122.051935,1.18,37.2,0.073,10.6,37.0,transition
RS012,RM012,R06,-3.483343,122.049762,1.16,34.8,0.080,11.1,30.4,transition
RS013,RM013,R07,-3.485815,122.059946,0.67,34.0,0.066,9.1,33.3,transition
RS014,RM014,R07,-3.482179,122.062697,0.96,30.7,0.062,7.0,40.0,transition
RS015,RM015,R08,-3.485612,122.070203,2.07,27.5,0.116,13.2,41.4,saprolite
RS016,RM016,R08,-3.481347,122.067022,2.05,25.2,0.108,15.1,35.6,saprolite
RS017,RM017,R09,-3.485127,122.077665,1.94,27.6,0.129,16.0,36.0,saprolite
RS018,RM018,R09,-3.485969,122.083411,1.67,28.9,0.098,17.1,39.5,saprolite
RS019,RM019,R10,-3.483749,122.088951,1.70,37.8,0.118,18.7,29.6,saprolite
RS020,RM020,R10,-3.484099,122.096479,1.87,28.5,0.102,14.6,28.2,saprolite
RS021,RM021,R11,-3.489127,122.053368,1.59,31.4,0.066,13.8,35.0,saprolite
RS022,RM022,R11,-3.493639,122.050088,2.03,35.6,0.109,12.7,36.9,saprolite
RS023,RM023,R12,-3.490503,122.061518,1.18,43.5,0.083,8.3,40.0,limonite
RS024,RM024,R12,-3.493076,122.058554,0.75,39.7,0.054,9.0,44.9,limonite
RS025,RM025,R13,-3.489152,122.073860,1.37,29.5,0.102,11.3,34.8,transition
RS026,RM026,R13,-3.491667,122.071263,1.45,38.7,0.074,12.1,35.2,saprolite
RS027,RM027,R14,-3.492554,122.082609,1.38,33.3,0.070,13.1,31.0,transition
RS028,RM028,R14,-3.493475,122.077606,1.70,40.1,0.088,10.0,42.8,transition
RS029,RM029,R15,-3.489286,122.089642,1.58,34.6,0.085,11.1,39.4,saprolite
RS030,RM030,R15,-3.491017,122.088376,1.84,39.6,0.099,12.1,36.0,saprolite
RS031,RM031,R16,-3.502857,122.049487,1.41,35.1,0.075,14.2,34.7,transition
RS032,RM032,R16,-3.499181,122.048506,0.75,31.6,0.059,8.5,43.1,transition
RS033,RM033,R17,-3.498948,122.061769,1.60,38.8,0.083,15.2,32.2,saprolite
RS034,RM034,R17,-3.496531,122.059190,1.71,31.0,0.092,14.0,31.1,saprolite
RS035,RM035,R18,-3.499227,122.073306,1.06,37.4,0.070,14.1,40.1,transition
RS036,RM036,R18,-3.502470,122.071487,1.37,38.2,0.095,11.7,32.2,transition
RS037,RM037,R19,-3.501487,122.081405,1.93,34.0,0.107,13.8,42.6,saprolite
RS038,RM038,R19,-3.501200,122.080455,1.83,32.1,0.099,18.0,31.3,saprolite
RS039,RM039,R20,-3.501625,122.091893,1.86,23.1,0.095,10.0,39.8,transition
RS040,RM040,R20,-3.500298,122.088330,1.48,24.3,0.100,15.4,32.5,saprolite
