grid_id,region_id,true_ni_pct,lithology
H001,SW,0.8452,peridotite_simulated
H002,SW,0.6375,serpentinite_simulated
H003,SW,1.3771,ultramafic_simulated
H004,SW,2.6288,serpentinite_simulated
H005,SW,1.2227,serpentinite_simulated
H006,SW,1.2359,serpentinite_simulated
H007,SW,0.4687,serpentinite_simulated
H008,SW,0.9143,serpentinite_simulated
H009,SW,1.8492,serpentinite_simulated
H010,SW,1.0036,serpentinite_simulated
H011,SE,0.1329,alluvium
H012,SE,1.431,serpentinite_simulated
H013,SE,1.5426,serpentinite_simulated
H014,SE,1.0468,peridotite_simulated
H015,SE,0.7731,ultramafic_simulated
H016,SE,0.3255,mafic_volcanic_simulated
H017,SE,1.0242,peridotite_simulated
H018,SE,0.7363,serpentinite_simulated
H019,SE,0.5909,serpentinite_simulated
H020,SE,1.3041,serpentinite_simulated
H021,SW,0.9192,serpentinite_simulated
H022,SW,0.2489,mafic_volcanic_simulated
H023,SW,1.2398,peridotite_simulated
H024,SW,0.4478,peridotite_simulated
H025,SW,0.6843,peridotite_simulated
H026,SW,0.1219,alluvium
H027,SW,0.9003,serpentinite_simulated
H028,SW,0.3501,mafic_volcanic_simulated
H029,SW,0.6774,serpentinite_simulated
H030,SW,1.0165,serpentinite_simulated
H031,SE,1.2852,ultramafic_simulated
H032,SE,0.632,ultramafic_simulated
H033,SE,0.8666,ultramafic_simulated
H034,SE,1.0527,serpentinite_simulated
H035,SE,0.8289,serpentinite_simulated
H036,SE,0.8902,serpentinite_simulated
H037,SE,1.1842,ultramafic_simulated
H038,SE,0.8387,ultramafic_simulated
H039,SE,1.3406,ultramafic_simulated
H040,SE,1.3927,peridotite_simulated
H041,SW,0.8549,serpentinite_simulated
H042,SW,1.7328,serpentinite_simulated
H043,SW,1.321,serpentinite_simulated
H044,SW,2.2244,serpentinite_simulated
H045,SW,1.3454,serpentinite_simulated
H046,SW,0.554,peridotite_simulated
H047,SW,0.7255,peridotite_simulated
H048,SW,0.9568,ultramafic_simulated
H049,SW,0.9833,ultramafic_simulated
H050,SW,4.3421,serpentinite_simulated
H051,SE,0.3213,mafic_volcanic_simulated
H052,SE,0.7761,serpentinite_simulated
H053,SE,1.3426,serpentinite_simulated
H054,SE,1.2241,peridotite_simulated
H055,SE,0.2792,mafic_volcanic_simulated
H056,SE,0.6907,peridotite_simulated
H057,SE,0.8153,peridotite_simulated
H058,SE,0.7937,serpentinite_simulated
H059,SE,1.397,ultramafic_simulated
H060,SE,0.395,ultramafic_simulated
H061,SW,1.1232,peridotite_simulated
H062,SW,1.4909,ultramafic_simulated
H063,SW,1.6484,ultramafic_simulated
H064,SW,1.1137,serpentinite_simulated
H065,SW,1.212,ultramafic_simulated
H066,SW,0.8159,ultramafic_simulated
H067,SW,1.1053,serpentinite_simulated
H068,SW,0.4785,serpentinite_simulated
H069,SW,0.9758,ultramafic_simulated
H070,SW,1.2261,ultramafic_simulated
H071,SE,1.3095,peridotite_simulated
H072,SE,0.9181,serpentinite_simulated
H073,SE,0.8097,peridotite_simulated
H074,SE,1.3735,serpentinite_simulated
H075,SE,0.4283,mafic_volcanic_simulated
H076,SE,1.0022,ultramafic_simulated
H077,SE,0.1238,alluvium
H078,SE,0.7472,peridotite_simulated
H079,SE,0.9696,ultramafic_simulated
H080,SE,1.7658,serpentinite_simulated
H081,SW,0.6316,ultramafic_simulated
H082,SW,1.6504,ultramafic_simulated
H083,SW,1.6873,peridotite_simulated
H084,SW,0.1238,alluvium
H085,SW,0.2978,mafic_volcanic_simulated
H086,SW,1.5981,ultramafic_simulated
H087,SW,1.1372,peridotite_simulated
H088,SW,1.9817,serpentinite_simulated
H089,SW,0.6654,peridotite_simulated
H090,SW,1.7809,peridotite_simulated
H091,SE,1.1222,ultramafic_simulated
H092,SE,0.2248,mafic_volcanic_simulated
H093,SE,1.0951,peridotite_simulated
H094,SE,0.5339,peridotite_simulated
H095,SE,1.4965,peridotite_simulated
H096,SE,1.5533,ultramafic_simulated
H097,SE,0.3344,mafic_volcanic_simulated
H098,SE,0.8693,peridotite_simulated
H099,SE,1.2118,ultramafic_simulated
H100,SE,0.8412,serpentinite_simulated
H101,SW,2.0842,serpentinite_simulated
H102,SW,0.718,serpentinite_simulated
H103,SW,0.8023,serpentinite_simulated
H104,SW,0.7182,peridotite_simulated
H105,SW,0.4776,ultramafic_simulated
H106,SW,2.1403,peridotite_simulated
H107,SW,1.3361,peridotite_simulated
H108,SW,1.654,serpentinite_simulated
H109,SW,0.9717,ultramafic_simulated
H110,SW,0.133,alluvium
H111,SE,0.9408,serpentinite_simulated
H112,SE,1.0505,serpentinite_simulated
H113,SE,0.8194,serpentinite_simulated
H114,SE,0.9853,ultramafic_simulated
H115,SE,4.3161,peridotite_simulated
H116,SE,1.6235,serpentinite_simulated
H117,SE,0.7939,peridotite_simulated
H118,SE,0.2709,mafic_volcanic_simulated
H119,SE,0.8379,serpentinite_simulated
H120,SE,1.5796,serpentinite_simulated
H121,SW,1.1078,serpentinite_simulated
H122,SW,0.1023,alluvium
H123,SW,1.184,serpentinite_simulated
H124,SW,1.2682,peridotite_simulated
H125,SW,0.9311,peridotite_simulated
H126,SW,2.0433,serpentinite_simulated
H127,SW,1.2927,peridotite_simulated
H128,SW,0.8197,peridotite_simulated
H129,SW,1.3657,peridotite_simulated
H130,SW,0.5252,mafic_volcanic_simulated
H131,SE,1.1539,peridotite_simulated
H132,SE,0.751,serpentinite_simulated
H133,SE,1.3728,ultramafic_simulated
H134,SE,0.9715,peridotite_simulated
H135,SE,0.8809,serpentinite_simulated
H136,SE,1.1457,ultramafic_simulated
H137,SE,1.5881,ultramafic_simulated
H138,SE,0.3005,mafic_volcanic_simulated
H139,SE,1.6982,serpentinite_simulated
H140,SE,1.2044,ultramafic_simulated
H141,SW,0.5705,ultramafic_simulated
H142,SW,0.5843,peridotite_simulated
H143,SW,2.1739,serpentinite_simulated
H144,SW,1.9567,peridotite_simulated
H145,SW,0.8529,serpentinite_simulated
H146,SW,0.7924,peridotite_simulated
H147,SW,1.6044,serpentinite_simulated
H148,SW,0.8055,ultramafic_simulated
H149,SW,0.147,alluvium
H150,SW,1.4858,ultramafic_simulated
H151,SE,1.2055,serpentinite_simulated
H152,SE,0.9078,serpentinite_simulated
H153,SE,1.5162,ultramafic_simulated
H154,SE,1.638,peridotite_simulated
H155,SE,1.1097,peridotite_simulated
H156,SE,0.7702,serpentinite_simulated
H157,SE,0.3759,mafic_volcanic_simulated
H158,SE,0.304,mafic_volcanic_simulated
H159,SE,1.831,serpentinite_simulated
H160,SE,1.0491,serpentinite_simulated
H161,SW,0.7515,serpentinite_simulated
H162,SW,2.244,serpentinite_simulated
H163,SW,0.8584,serpentinite_simulated
H164,SW,0.8746,ultramafic_simulated
H165,SW,1.7238,peridotite_simulated
H166,SW,1.0168,ultramafic_simulated
H167,SW,3.2595,peridotite_simulated
H168,SW,1.8954,peridotite_simulated
H169,SW,2.9378,serpentinite_simulated
H170,SW,2.1111,peridotite_simulated
H171,SE,1.2069,peridotite_simulated
H172,SE,0.6893,serpentinite_simulated
H173,SE,1.2622,serpentinite_simulated
H174,SE,1.3756,peridotite_simulated
H175,SE,1.1071,serpentinite_simulated
H176,SE,1.2528,serpentinite_simulated
H177,SE,0.3999,mafic_volcanic_simulated
H178,SE,1.7555,serpentinite_simulated
H179,SE,0.7123,serpentinite_simulated
H180,SE,1.0488,peridotite_simulated
H181,SW,0.3812,ultramafic_simulated
H182,SW,0.7084,ultramafic_simulated
H183,SW,0.7322,serpentinite_simulated
H184,SW,1.5978,peridotite_simulated
H185,SW,1.4221,peridotite_simulated
H186,SW,1.0487,ultramafic_simulated
H187,SW,0.7017,ultramafic_simulated
