grid_id,region_id,true_ni_pct,lithology
KON001,SW,0.6524,ultramafic_simulated
KON002,SW,0.973,serpentinite_simulated
KON003,SW,1.5806,serpentinite_simulated
KON004,SW,1.1883,peridotite_simulated
KON005,SW,0.8249,peridotite_simulated
KON006,SW,0.6722,peridotite_simulated
KON007,SW,1.5268,peridotite_simulated
KON008,SW,0.3312,mafic_volcanic_simulated
KON009,SW,1.3615,peridotite_simulated
KON010,SW,0.998,serpentinite_simulated
KON011,SE,1.0205,ultramafic_simulated
KON012,SE,1.5375,ultramafic_simulated
KON013,SE,1.6469,peridotite_simulated
KON014,SE,0.9773,peridotite_simulated
KON015,SE,0.134,alluvium
KON016,SE,1.6609,serpentinite_simulated
KON017,SE,0.7461,ultramafic_simulated
KON018,SE,0.9324,serpentinite_simulated
KON019,SE,0.5137,peridotite_simulated
KON020,SE,0.3713,mafic_volcanic_simulated
KON021,SW,1.8904,serpentinite_simulated
KON022,SW,2.2545,serpentinite_simulated
KON023,SW,1.2485,serpentinite_simulated
KON024,SW,0.53,serpentinite_simulated
KON025,SW,1.2198,serpentinite_simulated
KON026,SW,0.9036,peridotite_simulated
KON027,SW,0.4692,serpentinite_simulated
KON028,SW,0.8756,serpentinite_simulated
KON029,SW,0.3252,mafic_volcanic_simulated
KON030,SW,2.4372,serpentinite_simulated
KON031,SE,2.3356,peridotite_simulated
KON032,SE,1.0223,serpentinite_simulated
KON033,SE,1.2619,ultramafic_simulated
KON034,SE,0.373,mafic_volcanic_simulated
KON035,SE,1.2048,ultramafic_simulated
KON036,SE,0.8207,serpentinite_simulated
KON037,SE,1.7353,serpentinite_simulated
KON038,SE,0.3525,mafic_volcanic_simulated
KON039,SE,0.9395,ultramafic_simulated
KON040,SE,0.7876,serpentinite_simulated
KON041,SW,1.1227,peridotite_simulated
KON042,SW,0.145,alluvium
KON043,SW,0.8914,serpentinite_simulated
KON044,SW,1.4457,serpentinite_simulated
KON045,SW,0.8206,serpentinite_simulated
KON046,SW,0.9904,serpentinite_simulated
KON047,SW,0.961,ultramafic_simulated
KON048,SW,0.6177,ultramafic_simulated
KON049,SW,0.9673,peridotite_simulated
KON050,SW,0.1237,alluvium
KON051,SE,0.3802,peridotite_simulated
KON052,SE,1.1937,serpentinite_simulated
KON053,SE,1.6536,serpentinite_simulated
KON054,SE,1.675,serpentinite_simulated
KON055,SE,0.76,ultramafic_simulated
