point_id,grid_id,latitude,longitude,time,line_id,mag_raw_nT,qc_flag
MH0011,H001,0.611015,128.002779,2026-07-03 16:45:00,L06,46168.3,valid
MH0012,H001,0.60757,128.011279,2026-07-03 15:17:00,L05,44818.7,valid
MH0021,H002,0.60428,128.029073,2026-07-03 15:18:00,L05,46772.2,valid
MH0022,H002,0.610395,128.023917,2026-07-03 08:13:00,L03,47008.9,valid
MH0031,H003,0.605389,128.0346,2026-07-03 14:24:00,L03,43988.7,valid
MH0032,H003,0.608417,128.038035,2026-07-03 13:35:00,L03,45000.0,valid
MH0041,H004,0.610399,128.055579,2026-07-03 07:22:00,L05,46544.4,valid
MH0042,H004,0.610267,128.051726,2026-07-03 14:03:00,L06,46745.4,valid
MH0051,H005,0.61154,128.073653,2026-07-03 12:37:00,L03,44738.6,valid
MH0052,H005,0.605684,128.071942,2026-07-03 11:42:00,L01,45300.0,valid
MH0061,H006,0.60869,128.088899,2026-07-03 11:28:00,L05,45692.2,valid
MH0062,H006,0.61005,128.089286,2026-07-03 14:01:00,L06,46037.5,valid
MH0063,H006,0.610999,128.091201,2026-07-03 12:43:00,L01,45026.7,valid
MH0071,H007,0.608777,128.100146,2026-07-03 12:57:00,L03,46948.2,valid
MH0072,H007,0.605435,128.104822,2026-07-03 15:20:00,L01,46661.7,valid
MH0073,H007,0.607203,128.10862,2026-07-03 16:29:00,L05,45515.6,valid
MH0081,H008,0.608481,128.124739,2026-07-03 13:38:00,L06,45606.0,valid
MH0082,H008,0.609266,128.116695,2026-07-03 08:58:00,L05,45476.8,valid
MH0083,H008,0.608236,128.120925,2026-07-03 09:44:00,L06,46712.9,valid
MH0091,H009,0.611465,128.139568,2026-07-03 15:15:00,L01,46976.0,valid
MH0092,H009,0.602358,128.130661,2026-07-03 08:59:00,L03,45942.5,valid
MH0101,H010,0.609133,128.151666,2026-07-03 11:17:00,L02,44706.4,valid
MH0102,H010,0.612897,128.148755,2026-07-03 15:21:00,L03,46517.0,valid
MH0103,H010,0.61011,128.151809,2026-07-03 09:31:00,L04,46851.0,valid
MH0111,H011,0.610129,128.164473,2026-07-03 10:06:00,L04,43013.4,valid
MH0112,H011,0.608165,128.166317,2026-07-03 08:31:00,L02,43288.7,valid
MH0121,H012,0.603594,128.185255,2026-07-03 08:43:00,L04,46298.9,valid
MH0122,H012,0.607606,128.189404,2026-07-03 11:38:00,L03,46165.4,valid
MH0131,H013,0.604596,128.20259,2026-07-03 07:41:00,L06,47179.8,valid
MH0132,H013,0.604907,128.199811,2026-07-03 16:46:00,L04,45556.6,valid
MH0141,H014,0.606983,128.221588,2026-07-03 14:01:00,L03,44604.6,valid
MH0142,H014,0.610936,128.221566,2026-07-03 13:13:00,L03,45583.9,valid
MH0151,H015,0.606007,128.236102,2026-07-03 09:08:00,L02,44900.3,valid
MH0152,H015,0.604308,128.23678,2026-07-03 15:57:00,L05,44679.8,valid
MH0161,H016,0.607114,128.246312,2026-07-03 10:16:00,L04,43470.5,valid
MH0162,H016,0.613587,128.252881,2026-07-03 09:10:00,L04,43345.1,valid
MH0171,H017,0.612555,128.258687,2026-07-03 14:58:00,L06,44593.8,valid
MH0172,H017,0.605688,128.258736,2026-07-03 14:57:00,L04,44674.4,valid
MH0181,H018,0.610422,128.280012,2026-07-03 10:20:00,L05,45952.4,valid
MH0182,H018,0.610741,128.278859,2026-07-03 15:53:00,L05,46550.9,valid
MH0183,H018,0.602527,128.274175,2026-07-03 13:50:00,L04,45288.3,valid
MH0191,H019,0.602284,128.294919,2026-07-03 10:01:00,L02,46396.2,valid
MH0192,H019,0.612591,128.295615,2026-07-03 13:41:00,L02,46487.9,valid
MH0201,H020,0.605289,128.309218,2026-07-03 08:14:00,L06,46517.9,valid
MH0202,H020,0.604267,128.308955,2026-07-03 15:57:00,L03,46734.6,valid
MH0211,H021,0.605891,128.328339,2026-07-03 12:25:00,L03,45761.3,valid
MH0212,H021,0.610402,128.328454,2026-07-03 13:21:00,L03,46193.8,valid
MH0213,H021,0.611957,128.331842,2026-07-03 12:10:00,L03,45666.1,valid
MH0221,H022,0.612559,128.34716,2026-07-03 16:23:00,L02,42988.6,valid
MH0222,H022,0.607955,128.347202,2026-07-03 09:40:00,L06,42975.4,valid
MH0231,H023,0.607108,128.357045,2026-07-03 14:27:00,L02,45185.1,valid
MH0232,H023,0.613552,128.355133,2026-07-03 13:57:00,L02,45926.7,valid
MH0241,H024,0.611442,128.370018,2026-07-03 08:47:00,L06,44642.7,valid
MH0242,H024,0.608045,128.379316,2026-07-03 09:35:00,L02,44641.2,valid
MH0251,H025,0.610878,128.388493,2026-07-03 14:47:00,L06,44706.8,valid
MH0252,H025,0.603125,128.388534,2026-07-03 07:47:00,L04,45512.8,valid
MH0261,H026,0.611782,128.406238,2026-07-03 15:11:00,L02,43635.9,valid
MH0262,H026,0.611962,128.409822,2026-07-03 11:34:00,L02,42709.6,valid
MH0263,H026,0.610796,128.407058,2026-07-03 14:35:00,L02,42915.8,valid
MH0271,H027,0.602847,128.424101,2026-07-03 13:14:00,L05,45506.6,valid
MH0272,H027,0.609298,128.423715,2026-07-03 12:51:00,L06,46300.7,valid
MH0281,H028,0.613055,128.440824,2026-07-03 14:09:00,L04,43513.8,valid
MH0282,H028,0.60833,128.436869,2026-07-03 13:54:00,L05,43326.7,valid
MH0283,H028,0.613685,128.443132,2026-07-03 15:15:00,L02,44081.5,valid
MH0291,H029,0.609257,128.458539,2026-07-03 14:32:00,L02,46037.4,valid
MH0292,H029,0.60294,128.456692,2026-07-03 13:27:00,L01,45830.7,valid
MH0301,H030,0.610543,128.472696,2026-07-03 09:23:00,L05,44804.9,valid
