point_id,grid_id,latitude,longitude,time,line_id,mag_raw_nT,qc_flag
RM001,R01,-3.474889,122.050626,2026-07-02 08:00,L01,42695,valid
RM002,R01,-3.474445,122.050351,2026-07-02 08:08,L01,42508,valid
RM003,R02,-3.477043,122.063148,2026-07-02 08:16,L01,42384,valid
RM004,R02,-3.473840,122.059798,2026-07-02 08:24,L01,42977,valid
RM005,R03,-3.471968,122.070241,2026-07-02 08:32,L01,42930,valid
RM006,R03,-3.477454,122.074013,2026-07-02 08:40,L01,43541,valid
RM007,R04,-3.476413,122.079241,2026-07-02 08:48,L01,43091,valid
RM008,R04,-3.474949,122.078680,2026-07-02 08:56,L01,42373,valid
RM009,R05,-3.473901,122.096111,2026-07-02 09:04,L01,43978,valid
RM010,R05,-3.473604,122.095326,2026-07-02 09:12,L01,43832,valid
RM011,R06,-3.483190,122.051935,2026-07-02 09:20,L02,44837,valid
RM012,R06,-3.483343,122.049762,2026-07-02 09:28,L02,44721,valid
RM013,R07,-3.485815,122.059946,2026-07-02 09:36,L02,44534,valid
RM014,R07,-3.482179,122.062697,2026-07-02 09:44,L02,43796,valid
RM015,R08,-3.485612,122.070203,2026-07-02 09:52,L02,46424,valid
RM016,R08,-3.481347,122.067022,2026-07-02 10:00,L02,46899,valid
RM017,R09,-3.485127,122.077665,2026-07-02 10:08,L02,46780,valid
RM018,R09,-3.485969,122.083411,2026-07-02 10:16,L02,45872,valid
RM019,R10,-3.483749,122.088951,2026-07-02 10:24,L02,45185,valid
RM020,R10,-3.484099,122.096479,2026-07-02 10:32,L02,45797,valid
RM021,R11,-3.489127,122.053368,2026-07-02 10:40,L03,44859,valid
RM022,R11,-3.493639,122.050088,2026-07-02 10:48,L03,44185,valid
RM023,R12,-3.490503,122.061518,2026-07-02 10:56,L03,43625,valid
RM024,R12,-3.493076,122.058554,2026-07-02 11:04,L03,44134,valid
RM025,R13,-3.489152,122.073860,2026-07-02 11:12,L03,45885,valid
RM026,R13,-3.491667,122.071263,2026-07-02 11:20,L03,45782,valid
RM027,R14,-3.492554,122.082609,2026-07-02 11:28,L03,45307,valid
RM028,R14,-3.493475,122.077606,2026-07-02 11:36,L03,45705,valid
RM029,R15,-3.489286,122.089642,2026-07-02 11:44,L03,45306,valid
RM030,R15,-3.491017,122.088376,2026-07-02 11:52,L03,44777,valid
RM031,R16,-3.502857,122.049487,2026-07-02 12:00,L04,43311,valid
RM032,R16,-3.499181,122.048506,2026-07-02 12:08,L04,44105,valid
RM033,R17,-3.498948,122.061769,2026-07-02 12:16,L04,45286,valid
RM034,R17,-3.496531,122.059190,2026-07-02 12:24,L04,44734,valid
RM035,R18,-3.499227,122.073306,2026-07-02 12:32,L04,44814,valid
RM036,R18,-3.502470,122.071487,2026-07-02 12:40,L04,44606,valid
RM037,R19,-3.501487,122.081405,2026-07-02 12:48,L04,45367,valid
RM038,R19,-3.501200,122.080455,2026-07-02 12:56,L04,46666,valid
RM039,R20,-3.501625,122.091893,2026-07-02 13:04,L04,45098,valid
RM040,R20,-3.500298,122.088330,2026-07-02 13:12,L04,44928,valid
