grid_id,region_id,true_ni_pct,lithology
MOR001,SW,1.2374,ultramafic_simulated
MOR002,SW,1.6661,peridotite_simulated
MOR003,SW,0.2753,mafic_volcanic_simulated
MOR004,SW,1.5583,serpentinite_simulated
MOR005,SW,0.3082,mafic_volcanic_simulated
MOR006,SW,0.2506,mafic_volcanic_simulated
MOR007,SW,1.131,serpentinite_simulated
MOR008,SW,0.6553,serpentinite_simulated
MOR009,SW,2.3924,serpentinite_simulated
MOR010,SW,0.9727,ultramafic_simulated
MOR011,SE,0.1503,alluvium
MOR012,SE,1.0591,ultramafic_simulated
MOR013,SE,0.1536,alluvium
MOR014,SE,0.3805,ultramafic_simulated
MOR015,SE,0.884,peridotite_simulated
MOR016,SE,0.116,alluvium
MOR017,SE,1.3075,ultramafic_simulated
MOR018,SE,1.2944,serpentinite_simulated
MOR019,SE,0.1273,alluvium
MOR020,SE,0.7488,peridotite_simulated
MOR021,SW,1.4823,ultramafic_simulated
MOR022,SW,0.6147,serpentinite_simulated
MOR023,SW,0.8401,serpentinite_simulated
MOR024,SW,1.2664,serpentinite_simulated
MOR025,SW,0.9685,serpentinite_simulated
MOR026,SW,0.9466,serpentinite_simulated
MOR027,SW,0.7631,peridotite_simulated
MOR028,SW,1.3866,serpentinite_simulated
MOR029,SW,0.3924,mafic_volcanic_simulated
MOR030,SW,0.4759,mafic_volcanic_simulated
MOR031,SE,0.3535,mafic_volcanic_simulated
MOR032,SE,0.9325,serpentinite_simulated
MOR033,SE,0.946,serpentinite_simulated
MOR034,SE,1.6358,ultramafic_simulated
MOR035,SE,0.1208,alluvium
MOR036,SE,0.1366,alluvium
MOR037,SE,2.459,peridotite_simulated
MOR038,SE,0.1534,alluvium
MOR039,SE,0.8111,peridotite_simulated
MOR040,SE,1.8225,serpentinite_simulated
MOR041,SW,1.997,peridotite_simulated
MOR042,SW,0.7579,ultramafic_simulated
MOR043,SW,0.1382,alluvium
MOR044,SW,0.3203,mafic_volcanic_simulated
MOR045,SW,0.1204,alluvium
MOR046,SW,0.9603,serpentinite_simulated
MOR047,SW,0.841,serpentinite_simulated
MOR048,SW,0.798,peridotite_simulated
MOR049,SW,1.2188,serpentinite_simulated
MOR050,SW,1.0648,serpentinite_simulated
MOR051,SE,1.4194,serpentinite_simulated
MOR052,SE,1.5698,serpentinite_simulated
MOR053,SE,0.3189,mafic_volcanic_simulated
MOR054,SE,1.1001,peridotite_simulated
MOR055,SE,0.3714,mafic_volcanic_simulated
MOR056,SE,0.1497,alluvium
MOR057,SE,1.0215,serpentinite_simulated
MOR058,SE,1.919,serpentinite_simulated
