grid_id,region_id,true_ni_pct,lithology
OBI001,SW,1.0403,serpentinite_simulated
OBI002,SW,1.1956,serpentinite_simulated
OBI003,SW,1.5139,serpentinite_simulated
OBI004,SW,0.1096,alluvium
OBI005,SW,0.9041,peridotite_simulated
OBI006,SW,1.6584,serpentinite_simulated
OBI007,SW,0.9792,peridotite_simulated
OBI008,SW,1.1364,peridotite_simulated
OBI009,SW,0.7075,serpentinite_simulated
OBI010,SW,1.6177,peridotite_simulated
OBI011,SE,2.5316,peridotite_simulated
OBI012,SE,1.4363,peridotite_simulated
OBI013,SE,0.7633,ultramafic_simulated
OBI014,SE,0.9271,peridotite_simulated
OBI015,SE,0.1918,mafic_volcanic_simulated
OBI016,SE,1.0559,peridotite_simulated
OBI017,SE,1.1468,ultramafic_simulated
OBI018,SE,0.1341,alluvium
OBI019,SE,0.3627,mafic_volcanic_simulated
OBI020,SE,1.5443,ultramafic_simulated
OBI021,SW,0.9214,ultramafic_simulated
OBI022,SW,0.7841,serpentinite_simulated
OBI023,SW,0.8971,serpentinite_simulated
OBI024,SW,2.8982,serpentinite_simulated
OBI025,SW,1.0798,ultramafic_simulated
OBI026,SW,0.9522,peridotite_simulated
OBI027,SW,2.4877,serpentinite_simulated
OBI028,SW,2.2748,peridotite_simulated
OBI029,SW,1.9153,ultramafic_simulated
OBI030,SW,0.9202,serpentinite_simulated
OBI031,SE,0.7042,serpentinite_simulated
OBI032,SE,1.1065,ultramafic_simulated
OBI033,SE,1.2397,serpentinite_simulated
OBI034,SE,1.2433,ultramafic_simulated
OBI035,SE,0.7094,peridotite_simulated
OBI036,SE,0.1979,mafic_volcanic_simulated
OBI037,SE,0.6931,serpentinite_simulated
OBI038,SE,0.2242,mafic_volcanic_simulated
OBI039,SE,0.1474,alluvium
OBI040,SE,0.1251,alluvium
OBI041,SW,0.3834,peridotite_simulated
OBI042,SW,1.5204,serpentinite_simulated
OBI043,SW,0.3721,ultramafic_simulated
OBI044,SW,1.3486,serpentinite_simulated
OBI045,SW,1.203,ultramafic_simulated
OBI046,SW,0.9966,ultramafic_simulated
OBI047,SW,0.8133,serpentinite_simulated
OBI048,SW,0.8244,peridotite_simulated
OBI049,SW,0.7664,peridotite_simulated
OBI050,SW,0.1392,alluvium
OBI051,SE,0.1248,alluvium
OBI052,SE,1.929,serpentinite_simulated
OBI053,SE,2.3748,serpentinite_simulated
OBI054,SE,0.9155,serpentinite_simulated
OBI055,SE,0.3212,mafic_volcanic_simulated
OBI056,SE,0.4709,peridotite_simulated
OBI057,SE,0.6367,serpentinite_simulated
OBI058,SE,1.6688,ultramafic_simulated
OBI059,SE,0.9901,serpentinite_simulated
OBI060,SE,1.1363,serpentinite_simulated
OBI061,SW,0.2996,mafic_volcanic_simulated
OBI062,SW,0.6261,ultramafic_simulated
OBI063,SW,0.8168,ultramafic_simulated
OBI064,SW,0.6131,ultramafic_simulated
OBI065,SW,0.7233,ultramafic_simulated
OBI066,SW,0.9584,serpentinite_simulated
OBI067,SW,2.1984,serpentinite_simulated
OBI068,SW,1.6161,ultramafic_simulated
OBI069,SW,2.9281,ultramafic_simulated
OBI070,SW,0.1538,alluvium
OBI071,SE,0.835,serpentinite_simulated
OBI072,SE,0.6592,peridotite_simulated
OBI073,SE,1.2293,serpentinite_simulated
OBI074,SE,1.9254,serpentinite_simulated
OBI075,SE,1.1427,serpentinite_simulated
OBI076,SE,1.0079,serpentinite_simulated
OBI077,SE,0.2791,mafic_volcanic_simulated
OBI078,SE,0.8293,serpentinite_simulated
OBI079,SE,0.3484,mafic_volcanic_simulated
OBI080,SE,0.6136,peridotite_simulated
OBI081,SW,2.4029,serpentinite_simulated
OBI082,SW,1.1952,peridotite_simulated
OBI083,SW,2.0157,ultramafic_simulated
OBI084,SW,1.4307,peridotite_simulated
OBI085,SW,1.1999,serpentinite_simulated
OBI086,SW,2.2056,serpentinite_simulated
OBI087,SW,1.0763,peridotite_simulated
OBI088,SW,0.316,ultramafic_simulated
OBI089,SW,1.3553,serpentinite_simulated
OBI090,SW,1.7804,ultramafic_simulated
OBI091,SE,1.7203,serpentinite_simulated
OBI092,SE,1.3531,serpentinite_simulated
OBI093,SE,1.0477,ultramafic_simulated
OBI094,SE,2.0814,serpentinite_simulated
OBI095,SE,0.7091,ultramafic_simulated
OBI096,SE,0.861,ultramafic_simulated
OBI097,SE,0.8235,peridotite_simulated
OBI098,SE,0.9619,peridotite_simulated
OBI099,SE,0.5774,ultramafic_simulated
OBI100,SE,0.5557,serpentinite_simulated
OBI101,SW,1.3998,peridotite_simulated
OBI102,SW,1.1791,serpentinite_simulated
OBI103,SW,0.9789,peridotite_simulated
OBI104,SW,1.4062,serpentinite_simulated
OBI105,SW,0.8758,serpentinite_simulated
OBI106,SW,0.8455,peridotite_simulated
OBI107,SW,1.3944,peridotite_simulated
OBI108,SW,1.2551,serpentinite_simulated
OBI109,SW,0.3663,mafic_volcanic_simulated
OBI110,SW,1.2534,serpentinite_simulated
OBI111,SE,1.0419,serpentinite_simulated
OBI112,SE,0.7357,peridotite_simulated
OBI113,SE,0.6982,peridotite_simulated
OBI114,SE,1.1876,serpentinite_simulated
OBI115,SE,0.92,serpentinite_simulated
OBI116,SE,1.4393,serpentinite_simulated
OBI117,SE,1.3832,serpentinite_simulated
OBI118,SE,1.0661,serpentinite_simulated
OBI119,SE,1.0828,peridotite_simulated
OBI120,SE,1.475,peridotite_simulated
OBI121,SW,1.0284,serpentinite_simulated
OBI122,SW,0.8107,serpentinite_simulated
OBI123,SW,1.809,serpentinite_simulated
OBI124,SW,1.5417,serpentinite_simulated
OBI125,SW,0.8536,peridotite_simulated
OBI126,SW,0.7997,peridotite_simulated
OBI127,SW,1.6186,serpentinite_simulated
OBI128,SW,0.3029,mafic_volcanic_simulated
OBI129,SW,0.4368,mafic_volcanic_simulated
OBI130,SW,1.0905,serpentinite_simulated
OBI131,SE,0.2806,mafic_volcanic_simulated
OBI132,SE,4.2936,peridotite_simulated
OBI133,SE,1.6874,ultramafic_simulated
OBI134,SE,1.1358,serpentinite_simulated
OBI135,SE,0.7649,serpentinite_simulated
OBI136,SE,0.6334,ultramafic_simulated
OBI137,SE,1.5588,peridotite_simulated
OBI138,SE,0.7782,peridotite_simulated
OBI139,SE,0.706,peridotite_simulated
OBI140,SE,1.2784,peridotite_simulated
OBI141,SW,0.8008,peridotite_simulated
OBI142,SW,1.0568,ultramafic_simulated
OBI143,SW,1.3145,ultramafic_simulated
OBI144,SW,0.3187,mafic_volcanic_simulated
OBI145,SW,1.2665,serpentinite_simulated
OBI146,SW,1.5816,peridotite_simulated
OBI147,SW,0.535,mafic_volcanic_simulated
OBI148,SW,1.5419,serpentinite_simulated
OBI149,SW,0.4265,mafic_volcanic_simulated
OBI150,SW,2.1112,serpentinite_simulated
OBI151,SE,1.1856,peridotite_simulated
OBI152,SE,1.3866,ultramafic_simulated
OBI153,SE,1.0737,peridotite_simulated
OBI154,SE,1.5229,peridotite_simulated
OBI155,SE,1.1274,serpentinite_simulated
OBI156,SE,0.3893,mafic_volcanic_simulated
OBI157,SE,0.8327,peridotite_simulated
OBI158,SE,1.0152,serpentinite_simulated
OBI159,SE,0.626,ultramafic_simulated
OBI160,SE,0.3044,mafic_volcanic_simulated
OBI161,SW,2.4644,serpentinite_simulated
OBI162,SW,0.4162,mafic_volcanic_simulated
OBI163,SW,1.7222,ultramafic_simulated
OBI164,SW,1.0016,ultramafic_simulated
OBI165,SW,2.2523,serpentinite_simulated
OBI166,SW,1.0015,ultramafic_simulated
OBI167,SW,1.8029,peridotite_simulated
OBI168,SW,1.7794,peridotite_simulated
OBI169,SW,0.5099,serpentinite_simulated
OBI170,SW,2.2715,ultramafic_simulated
OBI171,SE,2.1998,serpentinite_simulated
OBI172,SE,1.6456,peridotite_simulated
OBI173,SE,0.7197,ultramafic_simulated
OBI174,SE,0.4366,mafic_volcanic_simulated
OBI175,SE,0.4503,mafic_volcanic_simulated
OBI176,SE,0.8585,serpentinite_simulated
OBI177,SE,0.6879,serpentinite_simulated
OBI178,SE,0.7953,serpentinite_simulated
OBI179,SE,2.2669,serpentinite_simulated
OBI180,SE,1.558,serpentinite_simulated
OBI181,SW,0.8651,ultramafic_simulated
OBI182,SW,1.4144,serpentinite_simulated
OBI183,SW,2.0561,ultramafic_simulated
OBI184,SW,1.613,serpentinite_simulated
OBI185,SW,0.2912,mafic_volcanic_simulated
OBI186,SW,1.2655,serpentinite_simulated
OBI187,SW,1.9066,serpentinite_simulated
OBI188,SW,1.4075,serpentinite_simulated
OBI189,SW,2.7687,serpentinite_simulated
OBI190,SW,1.4498,peridotite_simulated
OBI191,SE,1.5792,serpentinite_simulated
OBI192,SE,1.4557,serpentinite_simulated
OBI193,SE,1.9489,peridotite_simulated
OBI194,SE,0.8697,ultramafic_simulated
OBI195,SE,0.958,serpentinite_simulated
OBI196,SE,1.3644,peridotite_simulated
OBI197,SE,0.6819,serpentinite_simulated
OBI198,SE,0.1451,alluvium
OBI199,SE,0.7829,serpentinite_simulated
OBI200,SE,0.9899,ultramafic_simulated
OBI201,NW,1.3444,ultramafic_simulated
OBI202,NW,0.1446,alluvium
OBI203,NW,1.1183,peridotite_simulated
OBI204,NW,0.32,mafic_volcanic_simulated
OBI205,NW,1.2365,serpentinite_simulated
OBI206,NW,1.4004,serpentinite_simulated
OBI207,NW,0.5872,serpentinite_simulated
OBI208,NW,2.2302,serpentinite_simulated
OBI209,NW,0.7501,ultramafic_simulated
OBI210,NW,1.3999,ultramafic_simulated
OBI211,NE,1.9759,peridotite_simulated
OBI212,NE,0.1726,alluvium
OBI213,NE,1.2645,serpentinite_simulated
OBI214,NE,1.1508,peridotite_simulated
OBI215,NE,2.3788,serpentinite_simulated
OBI216,NE,1.317,ultramafic_simulated
OBI217,NE,0.6193,serpentinite_simulated
OBI218,NE,2.0662,peridotite_simulated
OBI219,NE,0.5848,ultramafic_simulated
OBI220,NE,0.5668,mafic_volcanic_simulated
OBI221,NW,1.5275,ultramafic_simulated
OBI222,NW,1.2488,serpentinite_simulated
OBI223,NW,0.6507,serpentinite_simulated
OBI224,NW,2.0721,ultramafic_simulated
OBI225,NW,1.0208,serpentinite_simulated
OBI226,NW,1.7959,peridotite_simulated
OBI227,NW,0.1428,alluvium
OBI228,NW,1.8045,ultramafic_simulated
OBI229,NW,1.6795,serpentinite_simulated
OBI230,NW,0.3406,mafic_volcanic_simulated
OBI231,NE,2.0553,peridotite_simulated
