grid_id,region_id,true_ni_pct,lithology
POM001,SW,0.107,alluvium
POM002,SW,0.1095,alluvium
POM003,SW,0.2778,mafic_volcanic_simulated
POM004,SW,0.1311,alluvium
POM005,SW,1.0725,ultramafic_simulated
POM006,SW,0.1393,alluvium
POM007,SW,1.3644,peridotite_simulated
POM008,SW,1.2102,serpentinite_simulated
POM009,SW,0.8847,ultramafic_simulated
POM010,SW,1.0228,peridotite_simulated
POM011,SE,0.2329,mafic_volcanic_simulated
POM012,SE,1.7694,serpentinite_simulated
POM013,SE,0.2774,mafic_volcanic_simulated
POM014,SE,1.026,peridotite_simulated
POM015,SE,1.1901,serpentinite_simulated
POM016,SE,0.2558,mafic_volcanic_simulated
POM017,SE,1.3511,serpentinite_simulated
POM018,SE,0.6429,peridotite_simulated
POM019,SE,0.237,mafic_volcanic_simulated
POM020,SE,0.2713,mafic_volcanic_simulated
POM021,SW,1.2022,serpentinite_simulated
POM022,SW,0.264,mafic_volcanic_simulated
POM023,SW,0.1315,alluvium
POM024,SW,0.1193,alluvium
POM025,SW,0.1509,alluvium
POM026,SW,2.021,serpentinite_simulated
POM027,SW,1.0506,serpentinite_simulated
POM028,SW,0.7614,serpentinite_simulated
POM029,SW,2.1012,serpentinite_simulated
POM030,SW,0.5142,peridotite_simulated
POM031,SE,1.4726,ultramafic_simulated
POM032,SE,0.8302,peridotite_simulated
POM033,SE,1.0498,peridotite_simulated
POM034,SE,0.8357,peridotite_simulated
POM035,SE,0.1079,alluvium
POM036,SE,1.2144,serpentinite_simulated
POM037,SE,1.0632,serpentinite_simulated
POM038,SE,1.766,ultramafic_simulated
POM039,SE,0.9195,peridotite_simulated
POM040,SE,0.1273,alluvium
POM041,SW,0.8199,ultramafic_simulated
POM042,SW,0.3,mafic_volcanic_simulated
POM043,SW,1.6453,ultramafic_simulated
POM044,SW,1.42,peridotite_simulated
POM045,SW,0.1067,alluvium
POM046,SW,0.1408,alluvium
POM047,SW,0.1462,alluvium
POM048,SW,0.2583,mafic_volcanic_simulated
POM049,SW,0.4751,mafic_volcanic_simulated
POM050,SW,0.4515,mafic_volcanic_simulated
POM051,SE,0.889,serpentinite_simulated
POM052,SE,1.4739,ultramafic_simulated
POM053,SE,0.1402,alluvium
POM054,SE,0.7343,serpentinite_simulated
POM055,SE,0.6975,ultramafic_simulated
POM056,SE,0.8764,peridotite_simulated
POM057,SE,0.1092,alluvium
POM058,SE,1.709,peridotite_simulated
POM059,SE,1.2306,peridotite_simulated
POM060,SE,0.3785,mafic_volcanic_simulated
POM061,SW,0.9338,ultramafic_simulated
POM062,SW,0.1317,alluvium
POM063,SW,0.7447,ultramafic_simulated
POM064,SW,1.6654,peridotite_simulated
POM065,SW,1.9158,serpentinite_simulated
POM066,SW,0.2667,mafic_volcanic_simulated
POM067,SW,0.2845,mafic_volcanic_simulated
POM068,SW,0.3544,mafic_volcanic_simulated
POM069,SW,1.6451,peridotite_simulated
POM070,SW,0.1084,alluvium
POM071,SE,2.6229,peridotite_simulated
POM072,SE,0.8605,ultramafic_simulated
POM073,SE,1.4374,serpentinite_simulated
POM074,SE,1.1003,ultramafic_simulated
POM075,SE,0.5356,ultramafic_simulated
POM076,SE,1.2217,ultramafic_simulated
POM077,SE,0.65,ultramafic_simulated
POM078,SE,1.13,serpentinite_simulated
POM079,SE,0.797,peridotite_simulated
POM080,SE,0.9924,peridotite_simulated
POM081,SW,0.1325,alluvium
POM082,SW,2.558,peridotite_simulated
POM083,SW,0.1421,alluvium
POM084,SW,1.8761,serpentinite_simulated
