grid_id,region_id,true_ni_pct,lithology
SOR001,SW,2.7398,ultramafic_simulated
SOR002,SW,1.3575,serpentinite_simulated
SOR003,SW,1.3496,serpentinite_simulated
SOR004,SW,2.0324,serpentinite_simulated
SOR005,SW,0.348,mafic_volcanic_simulated
SOR006,SW,0.7317,ultramafic_simulated
SOR007,SW,0.9959,serpentinite_simulated
SOR008,SW,0.5058,serpentinite_simulated
SOR009,SW,2.621,serpentinite_simulated
SOR010,SW,1.4262,ultramafic_simulated
SOR011,SE,0.6582,ultramafic_simulated
SOR012,SE,0.5703,serpentinite_simulated
SOR013,SE,1.9348,ultramafic_simulated
SOR014,SE,0.2565,mafic_volcanic_simulated
SOR015,SE,0.8249,serpentinite_simulated
SOR016,SE,1.2323,serpentinite_simulated
SOR017,SE,1.2889,ultramafic_simulated
SOR018,SE,1.3539,serpentinite_simulated
SOR019,SE,0.6266,peridotite_simulated
SOR020,SE,0.8149,ultramafic_simulated
SOR021,SW,0.8807,serpentinite_simulated
SOR022,SW,0.5327,ultramafic_simulated
SOR023,SW,3.0842,serpentinite_simulated
SOR024,SW,1.8385,serpentinite_simulated
SOR025,SW,0.1216,alluvium
SOR026,SW,0.7852,peridotite_simulated
SOR027,SW,0.675,peridotite_simulated
SOR028,SW,0.5678,serpentinite_simulated
SOR029,SW,1.28,peridotite_simulated
SOR030,SW,0.5829,serpentinite_simulated
SOR031,SE,0.6318,peridotite_simulated
SOR032,SE,1.1917,ultramafic_simulated
SOR033,SE,1.2933,peridotite_simulated
SOR034,SE,0.613,peridotite_simulated
SOR035,SE,0.1442,alluvium
SOR036,SE,1.5741,serpentinite_simulated
SOR037,SE,0.9956,ultramafic_simulated
SOR038,SE,0.8575,ultramafic_simulated
SOR039,SE,0.3949,mafic_volcanic_simulated
SOR040,SE,1.993,serpentinite_simulated
SOR041,SW,0.2672,mafic_volcanic_simulated
SOR042,SW,1.4956,serpentinite_simulated
SOR043,SW,1.4196,ultramafic_simulated
SOR044,SW,0.4867,serpentinite_simulated
SOR045,SW,0.1454,alluvium
SOR046,SW,0.7471,serpentinite_simulated
SOR047,SW,1.0908,ultramafic_simulated
SOR048,SW,1.7038,ultramafic_simulated
SOR049,SW,2.5968,peridotite_simulated
SOR050,SW,0.8051,serpentinite_simulated
SOR051,SE,0.1304,alluvium
SOR052,SE,0.9194,peridotite_simulated
SOR053,SE,0.5521,ultramafic_simulated
SOR054,SE,0.7282,ultramafic_simulated
SOR055,SE,0.3813,mafic_volcanic_simulated
SOR056,SE,0.7387,serpentinite_simulated
SOR057,SE,1.8012,serpentinite_simulated
SOR058,SE,0.4475,mafic_volcanic_simulated
SOR059,SE,1.281,ultramafic_simulated
SOR060,SE,1.2381,serpentinite_simulated
SOR061,SW,0.8063,serpentinite_simulated
SOR062,SW,0.8803,ultramafic_simulated
SOR063,SW,1.3841,peridotite_simulated
SOR064,SW,0.9511,serpentinite_simulated
SOR065,SW,0.6613,peridotite_simulated
SOR066,SW,1.1219,ultramafic_simulated
SOR067,SW,1.0874,peridotite_simulated
SOR068,SW,3.1757,peridotite_simulated
SOR069,SW,0.9618,serpentinite_simulated
SOR070,SW,0.498,ultramafic_simulated
SOR071,SE,1.5455,peridotite_simulated
SOR072,SE,0.8654,serpentinite_simulated
SOR073,SE,0.1454,alluvium
SOR074,SE,1.4106,ultramafic_simulated
SOR075,SE,1.4058,peridotite_simulated
SOR076,SE,0.1095,alluvium
SOR077,SE,0.7587,peridotite_simulated
SOR078,SE,0.3639,ultramafic_simulated
SOR079,SE,1.5266,serpentinite_simulated
SOR080,SE,0.6482,ultramafic_simulated
SOR081,SW,0.7688,ultramafic_simulated
SOR082,SW,0.908,serpentinite_simulated
SOR083,SW,1.0752,peridotite_simulated
SOR084,SW,1.2502,serpentinite_simulated
SOR085,SW,0.1361,alluvium
