grid_id,region_id,true_ni_pct,lithology
TAP001,SW,1.358,serpentinite_simulated
TAP002,SW,0.1192,alluvium
TAP003,SW,0.2692,mafic_volcanic_simulated
TAP004,SW,0.1322,alluvium
TAP005,SW,0.3441,mafic_volcanic_simulated
TAP006,SW,0.1195,alluvium
TAP007,SW,1.9457,ultramafic_simulated
TAP008,SW,0.2596,mafic_volcanic_simulated
TAP009,SW,0.1431,alluvium
TAP010,SW,0.3139,mafic_volcanic_simulated
TAP011,SE,0.3517,mafic_volcanic_simulated
TAP012,SE,0.1294,alluvium
TAP013,SE,1.3364,serpentinite_simulated
TAP014,SE,1.0881,ultramafic_simulated
TAP015,SE,1.6537,peridotite_simulated
TAP016,SE,0.2465,mafic_volcanic_simulated
TAP017,SE,1.3345,ultramafic_simulated
TAP018,SE,0.1056,alluvium
TAP019,SE,1.2583,peridotite_simulated
TAP020,SE,0.1225,alluvium
TAP021,SW,0.1228,alluvium
TAP022,SW,0.1122,alluvium
TAP023,SW,0.1032,alluvium
TAP024,SW,0.1431,alluvium
TAP025,SW,0.1028,alluvium
TAP026,SW,0.3293,mafic_volcanic_simulated
TAP027,SW,0.1213,alluvium
TAP028,SW,0.1462,alluvium
TAP029,SW,0.3405,mafic_volcanic_simulated
TAP030,SW,2.0084,serpentinite_simulated
TAP031,SE,0.1303,alluvium
TAP032,SE,1.0843,serpentinite_simulated
TAP033,SE,0.1461,alluvium
TAP034,SE,0.2417,mafic_volcanic_simulated
TAP035,SE,0.3532,mafic_volcanic_simulated
TAP036,SE,0.1189,alluvium
TAP037,SE,1.4578,serpentinite_simulated
TAP038,SE,1.2424,ultramafic_simulated
TAP039,SE,0.1151,alluvium
TAP040,SE,1.3284,serpentinite_simulated
TAP041,SW,0.1247,alluvium
TAP042,SW,0.6713,ultramafic_simulated
TAP043,SW,0.1299,alluvium
TAP044,SW,0.3931,mafic_volcanic_simulated
TAP045,SW,0.8038,ultramafic_simulated
TAP046,SW,0.8145,ultramafic_simulated
TAP047,SW,1.4572,ultramafic_simulated
TAP048,SW,0.8332,ultramafic_simulated
TAP049,SW,0.1444,alluvium
TAP050,SW,0.1523,alluvium
TAP051,SE,1.4014,serpentinite_simulated
TAP052,SE,0.1383,alluvium
TAP053,SE,0.1506,alluvium
TAP054,SE,0.1385,alluvium
TAP055,SE,0.1194,alluvium
TAP056,SE,1.0195,peridotite_simulated
TAP057,SE,0.402,mafic_volcanic_simulated
TAP058,SE,2.4722,serpentinite_simulated
TAP059,SE,0.1226,alluvium
TAP060,SE,0.2439,mafic_volcanic_simulated
TAP061,SW,0.1293,alluvium
TAP062,SW,0.1492,alluvium
TAP063,SW,0.3611,mafic_volcanic_simulated
TAP064,SW,1.9123,serpentinite_simulated
TAP065,SW,1.5051,serpentinite_simulated
TAP066,SW,0.1456,alluvium
TAP067,SW,0.1479,alluvium
TAP068,SW,1.0476,ultramafic_simulated
TAP069,SW,0.4191,mafic_volcanic_simulated
TAP070,SW,0.3554,mafic_volcanic_simulated
TAP071,SE,0.1309,alluvium
TAP072,SE,0.1613,alluvium
TAP073,SE,0.1327,alluvium
TAP074,SE,0.3142,mafic_volcanic_simulated
TAP075,SE,0.1525,alluvium
TAP076,SE,0.6611,ultramafic_simulated
TAP077,SE,0.1257,alluvium
TAP078,SE,1.1384,serpentinite_simulated
TAP079,SE,1.5472,peridotite_simulated
TAP080,SE,1.3003,peridotite_simulated
TAP081,SW,0.7275,serpentinite_simulated
TAP082,SW,0.4833,serpentinite_simulated
TAP083,SW,0.7867,ultramafic_simulated
TAP084,SW,0.1446,alluvium
TAP085,SW,0.6897,peridotite_simulated
TAP086,SW,1.3018,ultramafic_simulated
TAP087,SW,0.1214,alluvium
TAP088,SW,0.3684,mafic_volcanic_simulated
TAP089,SW,0.3193,mafic_volcanic_simulated
TAP090,SW,0.159,alluvium
TAP091,SE,0.9675,ultramafic_simulated
TAP092,SE,0.1507,alluvium
TAP093,SE,0.1392,alluvium
TAP094,SE,0.1462,alluvium
TAP095,SE,0.2971,mafic_volcanic_simulated
TAP096,SE,1.1182,ultramafic_simulated
