grid_id,lithology,slope_deg,distance_to_river_m,distance_to_road_m,legal_status,distance_to_smelter_km,area_ha,longitude,latitude,region_id,lith_alluvium,lith_andesite,lith_lahar_deposit,lith_mafic_volcanic_simulated,lith_peridotite_simulated,lith_serpentinite_simulated,lith_tuff,lith_ultramafic_simulated,lith_volcanic_breccia,legal_allowed,legal_conditional,legal_no_go
H001,peridotite_simulated,6.4,330.0,2657.0,allowed,249.0,140.6,128.0,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H002,serpentinite_simulated,2.4,303.0,2380.0,allowed,246.8,132.7,128.016,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H003,ultramafic_simulated,14.9,862.0,1389.0,allowed,244.5,109.3,128.032,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H004,serpentinite_simulated,15.6,756.0,2883.0,allowed,242.3,143.8,128.048,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H005,serpentinite_simulated,15.3,773.0,3057.0,allowed,240.2,134.6,128.064,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H006,serpentinite_simulated,3.3,341.0,623.0,allowed,238.0,116.7,128.08,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H007,serpentinite_simulated,6.3,1129.0,2374.0,allowed,235.9,136.5,128.096,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H008,serpentinite_simulated,17.8,797.0,2082.0,allowed,233.8,141.1,128.112,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H009,serpentinite_simulated,16.0,432.0,2397.0,no-go,231.7,123.7,128.128,0.6,SW,0,0,0,0,0,1,0,0,0,0,0,1
H010,serpentinite_simulated,11.0,374.0,2171.0,allowed,229.7,153.9,128.144,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H011,alluvium,3.5,133.0,651.0,allowed,227.7,137.6,128.16,0.6,SW,1,0,0,0,0,0,0,0,0,1,0,0
H012,serpentinite_simulated,17.9,673.0,3407.0,allowed,225.7,151.6,128.176,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
