grid_id,region_id,true_ni_pct,lithology
WED001,SW,2.0519,serpentinite_simulated
WED002,SW,0.1291,alluvium
WED003,SW,0.6662,ultramafic_simulated
WED004,SW,0.1087,alluvium
WED005,SW,1.2794,ultramafic_simulated
WED006,SW,1.0538,serpentinite_simulated
WED007,SW,0.112,alluvium
WED008,SW,0.334,mafic_volcanic_simulated
WED009,SW,0.6097,peridotite_simulated
WED010,SW,0.3243,mafic_volcanic_simulated
WED011,SE,0.4026,mafic_volcanic_simulated
WED012,SE,0.8643,peridotite_simulated
WED013,SE,0.1132,alluvium
WED014,SE,0.8716,ultramafic_simulated
WED015,SE,0.438,ultramafic_simulated
WED016,SE,1.0652,ultramafic_simulated
WED017,SE,1.6888,serpentinite_simulated
WED018,SE,0.143,alluvium
WED019,SE,1.9859,peridotite_simulated
WED020,SE,1.2517,serpentinite_simulated
WED021,SW,1.0443,serpentinite_simulated
WED022,SW,1.2728,peridotite_simulated
WED023,SW,0.3401,mafic_volcanic_simulated
WED024,SW,0.1563,alluvium
WED025,SW,0.8467,peridotite_simulated
WED026,SW,1.4721,peridotite_simulated
WED027,SW,0.5275,serpentinite_simulated
WED028,SW,0.3614,mafic_volcanic_simulated
WED029,SW,1.0874,ultramafic_simulated
WED030,SW,1.6296,serpentinite_simulated
WED031,SE,0.7836,serpentinite_simulated
WED032,SE,1.1689,ultramafic_simulated
WED033,SE,1.1721,serpentinite_simulated
WED034,SE,0.9234,ultramafic_simulated
WED035,SE,0.3933,mafic_volcanic_simulated
WED036,SE,0.9941,serpentinite_simulated
WED037,SE,1.4217,ultramafic_simulated
WED038,SE,1.0632,serpentinite_simulated
WED039,SE,0.8706,serpentinite_simulated
WED040,SE,0.872,ultramafic_simulated
WED041,SW,1.4014,serpentinite_simulated
WED042,SW,1.8063,serpentinite_simulated
WED043,SW,0.147,alluvium
WED044,SW,1.2494,serpentinite_simulated
WED045,SW,0.9626,peridotite_simulated
WED046,SW,1.7973,serpentinite_simulated
WED047,SW,0.8196,serpentinite_simulated
WED048,SW,0.6787,serpentinite_simulated
WED049,SW,0.8795,ultramafic_simulated
WED050,SW,0.9265,ultramafic_simulated
WED051,SE,2.8821,peridotite_simulated
WED052,SE,0.978,serpentinite_simulated
WED053,SE,1.3151,peridotite_simulated
WED054,SE,0.1622,alluvium
WED055,SE,0.129,alluvium
WED056,SE,0.965,ultramafic_simulated
WED057,SE,0.7966,serpentinite_simulated
WED058,SE,0.9198,ultramafic_simulated
WED059,SE,0.241,mafic_volcanic_simulated
WED060,SE,1.0087,peridotite_simulated
WED061,SW,1.3182,serpentinite_simulated
WED062,SW,2.6704,serpentinite_simulated
WED063,SW,0.7607,peridotite_simulated
WED064,SW,0.8754,peridotite_simulated
WED065,SW,1.7998,serpentinite_simulated
WED066,SW,0.8733,serpentinite_simulated
WED067,SW,1.0601,serpentinite_simulated
WED068,SW,0.9958,peridotite_simulated
WED069,SW,0.8714,serpentinite_simulated
WED070,SW,1.2247,peridotite_simulated
WED071,SE,0.6652,peridotite_simulated
WED072,SE,1.6293,serpentinite_simulated
WED073,SE,1.339,serpentinite_simulated
WED074,SE,0.7636,ultramafic_simulated
WED075,SE,0.1511,alluvium
WED076,SE,1.4255,peridotite_simulated
WED077,SE,0.1515,alluvium
WED078,SE,0.2663,mafic_volcanic_simulated
WED079,SE,0.3476,mafic_volcanic_simulated
WED080,SE,1.7845,peridotite_simulated
WED081,SW,1.569,serpentinite_simulated
WED082,SW,1.5844,peridotite_simulated
WED083,SW,1.1677,ultramafic_simulated
WED084,SW,1.8098,serpentinite_simulated
WED085,SW,1.2828,peridotite_simulated
WED086,SW,0.7233,peridotite_simulated
WED087,SW,0.2634,mafic_volcanic_simulated
WED088,SW,1.2248,peridotite_simulated
WED089,SW,1.6084,serpentinite_simulated
WED090,SW,1.1487,ultramafic_simulated
WED091,SE,0.886,peridotite_simulated
WED092,SE,1.3928,serpentinite_simulated
WED093,SE,2.055,peridotite_simulated
WED094,SE,1.7239,serpentinite_simulated
WED095,SE,0.9249,serpentinite_simulated
WED096,SE,1.5323,serpentinite_simulated
WED097,SE,1.525,ultramafic_simulated
WED098,SE,1.8875,serpentinite_simulated
WED099,SE,0.6888,ultramafic_simulated
WED100,SE,0.9962,serpentinite_simulated
WED101,SW,0.5288,peridotite_simulated
WED102,SW,2.1231,serpentinite_simulated
WED103,SW,0.1412,alluvium
WED104,SW,0.9349,peridotite_simulated
WED105,SW,1.7444,serpentinite_simulated
WED106,SW,1.4438,serpentinite_simulated
WED107,SW,0.1607,alluvium
WED108,SW,1.3642,serpentinite_simulated
WED109,SW,1.0516,peridotite_simulated
WED110,SW,2.3103,serpentinite_simulated
WED111,SE,1.5538,peridotite_simulated
WED112,SE,1.3728,ultramafic_simulated
WED113,SE,0.6345,peridotite_simulated
WED114,SE,1.0435,serpentinite_simulated
WED115,SE,2.7456,serpentinite_simulated
WED116,SE,0.8251,ultramafic_simulated
WED117,SE,0.2591,mafic_volcanic_simulated
WED118,SE,1.523,peridotite_simulated
WED119,SE,0.966,ultramafic_simulated
WED120,SE,0.8495,ultramafic_simulated
WED121,SW,1.1611,peridotite_simulated
WED122,SW,0.1439,alluvium
WED123,SW,0.6666,ultramafic_simulated
WED124,SW,1.4346,peridotite_simulated
WED125,SW,0.2824,mafic_volcanic_simulated
WED126,SW,0.7041,peridotite_simulated
WED127,SW,1.5959,peridotite_simulated
WED128,SW,1.8774,serpentinite_simulated
WED129,SW,2.0112,ultramafic_simulated
WED130,SW,0.7114,serpentinite_simulated
WED131,SE,1.4471,serpentinite_simulated
WED132,SE,1.1002,ultramafic_simulated
WED133,SE,1.7776,serpentinite_simulated
WED134,SE,1.8918,serpentinite_simulated
WED135,SE,0.1452,alluvium
WED136,SE,0.5049,ultramafic_simulated
WED137,SE,0.8641,serpentinite_simulated
WED138,SE,1.2188,peridotite_simulated
WED139,SE,1.1208,serpentinite_simulated
WED140,SE,0.7327,peridotite_simulated
WED141,SW,0.4405,mafic_volcanic_simulated
WED142,SW,1.0831,serpentinite_simulated
WED143,SW,1.124,ultramafic_simulated
WED144,SW,0.1348,alluvium
WED145,SW,0.4108,mafic_volcanic_simulated
WED146,SW,1.1543,peridotite_simulated
WED147,SW,1.0185,peridotite_simulated
WED148,SW,0.8852,ultramafic_simulated
WED149,SW,0.5993,mafic_volcanic_simulated
WED150,SW,0.175,alluvium
WED151,SE,0.1397,alluvium
WED152,SE,1.8111,peridotite_simulated
WED153,SE,1.3833,serpentinite_simulated
WED154,SE,0.3282,mafic_volcanic_simulated
WED155,SE,1.5076,ultramafic_simulated
WED156,SE,1.1378,peridotite_simulated
WED157,SE,0.8418,serpentinite_simulated
WED158,SE,1.4903,ultramafic_simulated
WED159,SE,0.3855,mafic_volcanic_simulated
WED160,SE,0.7266,peridotite_simulated
WED161,SW,2.9748,serpentinite_simulated
WED162,SW,0.1301,alluvium
WED163,SW,0.7145,serpentinite_simulated
WED164,SW,1.506,peridotite_simulated
WED165,SW,1.4695,peridotite_simulated
WED166,SW,2.9691,peridotite_simulated
WED167,SW,0.8942,peridotite_simulated
WED168,SW,1.5803,ultramafic_simulated
WED169,SW,2.0786,serpentinite_simulated
WED170,SW,1.4608,serpentinite_simulated
WED171,SE,0.1838,alluvium
WED172,SE,0.3844,mafic_volcanic_simulated
WED173,SE,2.1109,serpentinite_simulated
WED174,SE,2.4923,serpentinite_simulated
WED175,SE,0.7986,serpentinite_simulated
WED176,SE,0.85,peridotite_simulated
WED177,SE,1.5619,peridotite_simulated
WED178,SE,1.4349,serpentinite_simulated
WED179,SE,0.1754,alluvium
WED180,SE,4.1714,serpentinite_simulated
WED181,SW,0.3605,mafic_volcanic_simulated
WED182,SW,0.1203,alluvium
WED183,SW,0.9173,ultramafic_simulated
WED184,SW,1.7332,serpentinite_simulated
WED185,SW,0.6753,ultramafic_simulated
WED186,SW,0.5887,peridotite_simulated
WED187,SW,0.4032,mafic_volcanic_simulated
WED188,SW,1.277,peridotite_simulated
WED189,SW,1.9062,serpentinite_simulated
WED190,SW,0.9642,peridotite_simulated
WED191,SE,2.5048,peridotite_simulated
WED192,SE,1.026,serpentinite_simulated
WED193,SE,1.2942,serpentinite_simulated
WED194,SE,0.9176,peridotite_simulated
WED195,SE,1.2849,serpentinite_simulated
WED196,SE,0.8653,ultramafic_simulated
WED197,SE,1.108,ultramafic_simulated
WED198,SE,1.4344,serpentinite_simulated
WED199,SE,1.2517,ultramafic_simulated
WED200,SE,1.6032,serpentinite_simulated
WED201,NW,1.2512,ultramafic_simulated
WED202,NW,0.9237,serpentinite_simulated
WED203,NW,1.1223,ultramafic_simulated
WED204,NW,1.5766,peridotite_simulated
WED205,NW,0.1521,alluvium
WED206,NW,2.4482,peridotite_simulated
WED207,NW,1.1483,peridotite_simulated
WED208,NW,0.5437,mafic_volcanic_simulated
WED209,NW,1.1877,ultramafic_simulated
WED210,NW,3.42,serpentinite_simulated
WED211,NE,3.4687,serpentinite_simulated
WED212,NE,1.5342,ultramafic_simulated
WED213,NE,1.4042,ultramafic_simulated
WED214,NE,1.9734,peridotite_simulated
WED215,NE,0.834,serpentinite_simulated
